trace_name,trace_channel,trace_sampling_rate_hz,trace_component_order,trace_start_time,station_code,station_network_code,station_latitude_deg,station_longitude_deg,station_elevation_m,split,trace_chunk,trace_npts,trace_name_original
"bucket0$7,:3,:6000",HH,100.0,ENZ,2016-10-13T00:02:23.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_14310_NO
"bucket0$8,:3,:6000",HH,100.0,ENZ,2016-10-13T00:00:05.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_518_NO
"bucket0$9,:3,:6000",HH,100.0,ENZ,2016-10-13T00:01:00.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_6044_NO
"bucket3$2,:3,:6000",HH,100.0,ENZ,2016-10-13T00:11:29.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_68915_NO
"bucket0$10,:3,:6000",HH,100.0,ENZ,2016-10-13T00:13:27.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_80776_NO
"bucket0$11,:3,:6000",HH,100.0,ENZ,2016-10-13T00:13:37.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_81782_NO
"bucket0$12,:3,:6000",HH,100.0,ENZ,2016-10-13T00:13:41.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161013_82156_NO
"bucket0$13,:3,:6000",HH,100.0,ENZ,2016-10-14T00:02:41.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_16109_NO
"bucket0$14,:3,:6000",HH,100.0,ENZ,2016-10-14T00:05:54.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_35442_NO
"bucket0$15,:3,:6000",HH,100.0,ENZ,2016-10-14T00:06:13.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_37331_NO
"bucket0$16,:3,:6000",HH,100.0,ENZ,2016-10-14T00:06:35.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_39508_NO
"bucket0$17,:3,:6000",HH,100.0,ENZ,2016-10-14T00:10:24.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_62433_NO
"bucket0$18,:3,:6000",HH,100.0,ENZ,2016-10-14T00:10:58.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_65818_NO
"bucket0$19,:3,:6000",HH,100.0,ENZ,2016-10-14T00:01:29.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161014_8938_NO
"bucket0$20,:3,:6000",HH,100.0,ENZ,2016-10-15T00:04:39.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_27987_NO
"bucket0$21,:3,:6000",HH,100.0,ENZ,2016-10-15T00:05:07.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_30713_NO
"bucket3$3,:3,:6000",HH,100.0,ENZ,2016-10-15T00:07:52.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_47242_NO
"bucket0$22,:3,:6000",HH,100.0,ENZ,2016-10-15T00:08:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_51046_NO
"bucket0$23,:3,:6000",HH,100.0,ENZ,2016-10-15T00:09:34.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_57483_NO
"bucket0$24,:3,:6000",HH,100.0,ENZ,2016-10-15T00:10:41.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_64194_NO
"bucket9$5,:3,:6000",HH,100.0,ENZ,2016-10-15T00:14:05.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161015_84504_NO
"bucket9$6,:3,:6000",HH,100.0,ENZ,2016-10-16T00:00:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_3053_NO
"bucket0$25,:3,:6000",HH,100.0,ENZ,2016-10-16T00:07:22.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_44247_NO
"bucket0$26,:3,:6000",HH,100.0,ENZ,2016-10-16T00:07:45.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_46523_NO
"bucket0$27,:3,:6000",HH,100.0,ENZ,2016-10-16T00:10:47.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_64756_NO
"bucket0$28,:3,:6000",HH,100.0,ENZ,2016-10-16T00:11:02.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_66272_NO
"bucket0$29,:3,:6000",HH,100.0,ENZ,2016-10-16T00:11:43.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_70308_NO
"bucket9$7,:3,:6000",HH,100.0,ENZ,2016-10-16T00:11:46.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161016_70678_NO
"bucket0$30,:3,:6000",HH,100.0,ENZ,2016-10-17T00:05:13.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_31302_NO
"bucket0$31,:3,:6000",HH,100.0,ENZ,2016-10-17T00:07:46.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_46699_NO
"bucket3$4,:3,:6000",HH,100.0,ENZ,2016-10-17T00:09:13.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_55372_NO
"bucket0$32,:3,:6000",HH,100.0,ENZ,2016-10-17T00:11:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_67669_NO
"bucket0$33,:3,:6000",HH,100.0,ENZ,2016-10-17T00:11:34.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_69449_NO
"bucket0$34,:3,:6000",HH,100.0,ENZ,2016-10-17T00:12:03.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_72330_NO
"bucket0$35,:3,:6000",HH,100.0,ENZ,2016-10-17T00:13:33.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161017_81368_NO
"bucket3$5,:3,:6000",HH,100.0,ENZ,2016-10-18T00:05:18.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_31871_NO
"bucket0$36,:3,:6000",HH,100.0,ENZ,2016-10-18T00:00:50.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_5093_NO
"bucket0$37,:3,:6000",HH,100.0,ENZ,2016-10-18T00:09:01.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_54169_NO
"bucket3$6,:3,:6000",HH,100.0,ENZ,2016-10-18T00:09:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_55660_NO
"bucket0$38,:3,:6000",HH,100.0,ENZ,2016-10-18T00:10:13.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_61346_NO
"bucket0$39,:3,:6000",HH,100.0,ENZ,2016-10-18T00:12:42.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_76258_NO
"bucket0$40,:3,:6000",HH,100.0,ENZ,2016-10-18T00:13:50.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161018_83021_NO
"bucket0$41,:3,:6000",HH,100.0,ENZ,2016-10-19T00:00:14.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_1443_NO
"bucket0$42,:3,:6000",HH,100.0,ENZ,2016-10-19T00:00:26.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_2625_NO
"bucket3$7,:3,:6000",HH,100.0,ENZ,2016-10-19T00:04:51.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_29196_NO
"bucket0$43,:3,:6000",HH,100.0,ENZ,2016-10-19T00:05:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_33079_NO
"bucket0$44,:3,:6000",HH,100.0,ENZ,2016-10-19T00:07:14.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_43468_NO
"bucket9$8,:3,:6000",HH,100.0,ENZ,2016-10-19T00:09:04.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_54490_NO
"bucket0$45,:3,:6000",HH,100.0,ENZ,2016-10-19T00:11:09.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161019_66975_NO
"bucket9$9,:3,:6000",HH,100.0,ENZ,2016-10-01T00:00:28.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_2827_NO
"bucket0$46,:3,:6000",HH,100.0,ENZ,2016-10-01T00:06:54.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_41430_NO
"bucket0$47,:3,:6000",HH,100.0,ENZ,2016-10-01T00:06:57.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_41799_NO
"bucket0$48,:3,:6000",HH,100.0,ENZ,2016-10-01T00:07:10.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_43089_NO
"bucket0$49,:3,:6000",HH,100.0,ENZ,2016-10-01T00:07:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_43679_NO
"bucket0$50,:3,:6000",HH,100.0,ENZ,2016-10-01T00:07:50.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_47031_NO
"bucket0$51,:3,:6000",HH,100.0,ENZ,2016-10-01T00:09:17.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161001_55768_NO
"bucket0$52,:3,:6000",HH,100.0,ENZ,2016-10-20T00:07:18.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_43813_NO
"bucket3$8,:3,:6000",HH,100.0,ENZ,2016-10-20T00:07:42.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_46225_NO
"bucket0$53,:3,:6000",HH,100.0,ENZ,2016-10-20T00:00:54.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_5435_NO
"bucket0$54,:3,:6000",HH,100.0,ENZ,2016-10-20T00:09:28.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_56868_NO
"bucket0$55,:3,:6000",HH,100.0,ENZ,2016-10-20T00:09:33.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_57313_NO
"bucket0$56,:3,:6000",HH,100.0,ENZ,2016-10-20T00:09:41.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_58154_NO
"bucket0$57,:3,:6000",HH,100.0,ENZ,2016-10-20T00:01:06.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161020_6601_NO
"bucket0$58,:3,:6000",HH,100.0,ENZ,2016-10-21T00:00:23.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_2330_NO
"bucket3$9,:3,:6000",HH,100.0,ENZ,2016-10-21T00:05:14.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_31463_NO
"bucket0$59,:3,:6000",HH,100.0,ENZ,2016-10-21T00:05:25.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_32520_NO
"bucket0$60,:3,:6000",HH,100.0,ENZ,2016-10-21T00:07:04.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_42495_NO
"bucket0$61,:3,:6000",HH,100.0,ENZ,2016-10-21T00:07:09.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_42922_NO
"bucket0$62,:3,:6000",HH,100.0,ENZ,2016-10-21T00:07:41.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_46186_NO
"bucket3$10,:3,:6000",HH,100.0,ENZ,2016-10-21T00:08:32.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161021_51297_NO
"bucket0$63,:3,:6000",HH,100.0,ENZ,2016-10-22T00:03:01.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_18190_NO
"bucket0$64,:3,:6000",HH,100.0,ENZ,2016-10-22T00:05:25.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_32503_NO
"bucket0$65,:3,:6000",HH,100.0,ENZ,2016-10-22T00:00:33.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_3352_NO
"bucket0$66,:3,:6000",HH,100.0,ENZ,2016-10-22T00:08:26.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_50668_NO
"bucket0$67,:3,:6000",HH,100.0,ENZ,2016-10-22T00:09:05.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_54555_NO
"bucket0$68,:3,:6000",HH,100.0,ENZ,2016-10-22T00:11:48.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_70882_NO
"bucket3$11,:3,:6000",HH,100.0,ENZ,2016-10-22T00:13:01.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161022_78186_NO
"bucket3$12,:3,:6000",HH,100.0,ENZ,2016-10-23T00:04:40.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_28056_NO
"bucket9$10,:3,:6000",HH,100.0,ENZ,2016-10-23T00:00:39.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_3927_NO
"bucket3$13,:3,:6000",HH,100.0,ENZ,2016-10-23T00:11:10.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_67021_NO
"bucket0$69,:3,:6000",HH,100.0,ENZ,2016-10-23T00:13:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_81025_NO
"bucket3$14,:3,:6000",HH,100.0,ENZ,2016-10-23T00:00:08.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_810_NO
"bucket3$15,:3,:6000",HH,100.0,ENZ,2016-10-23T00:13:49.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_82977_NO
"bucket0$70,:3,:6000",HH,100.0,ENZ,2016-10-23T00:01:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161023_9038_NO
"bucket0$71,:3,:6000",HH,100.0,ENZ,2016-10-24T00:00:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_1683_NO
"bucket0$72,:3,:6000",HH,100.0,ENZ,2016-10-24T00:04:12.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_25207_NO
"bucket3$16,:3,:6000",HH,100.0,ENZ,2016-10-24T00:06:11.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_37166_NO
"bucket3$17,:3,:6000",HH,100.0,ENZ,2016-10-24T00:11:15.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_67538_NO
"bucket0$73,:3,:6000",HH,100.0,ENZ,2016-10-24T00:12:12.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_73292_NO
"bucket3$18,:3,:6000",HH,100.0,ENZ,2016-10-24T00:01:13.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_7368_NO
"bucket0$74,:3,:6000",HH,100.0,ENZ,2016-10-24T00:12:52.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161024_77258_NO
"bucket3$19,:3,:6000",HH,100.0,ENZ,2016-10-25T00:01:52.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_11294_NO
"bucket0$75,:3,:6000",HH,100.0,ENZ,2016-10-25T00:03:48.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_22865_NO
"bucket0$76,:3,:6000",HH,100.0,ENZ,2016-10-25T00:04:15.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_25517_NO
"bucket9$11,:3,:6000",HH,100.0,ENZ,2016-10-25T00:10:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_61686_NO
"bucket0$77,:3,:6000",HH,100.0,ENZ,2016-10-25T00:10:45.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_64520_NO
"bucket0$78,:3,:6000",HH,100.0,ENZ,2016-10-25T00:10:55.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_65535_NO
"bucket0$79,:3,:6000",HH,100.0,ENZ,2016-10-25T00:12:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161025_75067_NO
"bucket0$80,:3,:6000",HH,100.0,ENZ,2016-10-26T00:05:27.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_32753_NO
"bucket0$81,:3,:6000",HH,100.0,ENZ,2016-10-26T00:08:48.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_52819_NO
"bucket0$82,:3,:6000",HH,100.0,ENZ,2016-10-26T00:12:02.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_72238_NO
"bucket9$12,:3,:6000",HH,100.0,ENZ,2016-10-26T00:12:17.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_73744_NO
"bucket0$83,:3,:6000",HH,100.0,ENZ,2016-10-26T00:12:22.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_74209_NO
"bucket0$84,:3,:6000",HH,100.0,ENZ,2016-10-26T00:12:37.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_75727_NO
"bucket0$85,:3,:6000",HH,100.0,ENZ,2016-10-26T00:13:06.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161026_78610_NO
"bucket0$86,:3,:6000",HH,100.0,ENZ,2016-10-27T00:03:34.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_21484_NO
"bucket0$87,:3,:6000",HH,100.0,ENZ,2016-10-27T00:04:49.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_28964_NO
"bucket0$88,:3,:6000",HH,100.0,ENZ,2016-10-27T00:05:16.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_31659_NO
"bucket3$20,:3,:6000",HH,100.0,ENZ,2016-10-27T00:07:24.000000Z,CHC2,KS,37.777699,127.814499,268.0,dev,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_44420_NO
"bucket0$89,:3,:6000",HH,100.0,ENZ,2016-10-27T00:08:21.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_50197_NO
"bucket0$90,:3,:6000",HH,100.0,ENZ,2016-10-27T00:12:46.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_76647_NO
"bucket0$91,:3,:6000",HH,100.0,ENZ,2016-10-27T00:13:15.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161027_79521_NO
"bucket0$92,:3,:6000",HH,100.0,ENZ,2016-10-28T00:02:05.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161028_12593_NO
"bucket9$13,:3,:6000",HH,100.0,ENZ,2016-10-28T00:03:44.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161028_22444_NO
"bucket0$93,:3,:6000",HH,100.0,ENZ,2016-10-28T00:03:49.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161028_22932_NO
"bucket0$94,:3,:6000",HH,100.0,ENZ,2016-10-28T00:08:33.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161028_51374_NO
"bucket9$14,:3,:6000",HH,100.0,ENZ,2016-10-28T00:09:30.000000Z,CHC2,KS,37.777699,127.814499,268.0,test,_CHC2_HH,6000,KS.CHC2.HH.KS20161028_57055_NO
"bucket0$95,:3,:6000",HH,100.0,ENZ,2016-10-28T00:09:44.000000Z,CHC2,KS,37.777699,127.814499,268.0,train,_CHC2_HH,6000,KS.CHC2.HH.KS20161028_58417_NO
